Sample_Name	Group	Inversion
FAB_15X_LAMn_F_EXPOS_DWARF_161	3	Inv_3.1
FAB_15X_LAMn_F_EXPOS_DWARF_166	3	Inv_3.1
FAB_15X_LAMn_F_EXPOS_DWARF_169	2	Inv_3.1
FAB_15X_LAMn_F_EXPOS_DWARF_179	1	Inv_3.1
FAB_15X_LAMn_F_SHELT_DWARF_1	2	Inv_3.1
FAB_15X_LAMn_F_SHELT_LARGE_129	2	Inv_3.1
FAB_15X_LAMn_F_SHELT_LARGE_130	2	Inv_3.1
FAB_15X_LAMn_F_SHELT_LARGE_4	1	Inv_3.1
FAB_15X_LAMn_F_SHELT_LARGE_8	2	Inv_3.1
FAB_15X_LAMn_M_EXPOS_DWARF_167	3	Inv_3.1
FAB_15X_LAMn_M_EXPOS_DWARF_170	3	Inv_3.1
FAB_15X_LAMn_M_EXPOS_DWARF_171	3	Inv_3.1
FAB_15X_LAMn_M_EXPOS_LARGE_165	3	Inv_3.1
FAB_15X_LAMn_M_SHELT_DWARF_131	2	Inv_3.1
FAB_15X_LAMn_M_SHELT_LARGE_128	2	Inv_3.1
FAB_15X_LAMn_M_SHELT_LARGE_132	2	Inv_3.1
FAB_15X_LAMn_M_SHELT_LARGE_2	2	Inv_3.1
FAB_15X_LAMn_M_SHELT_LARGE_5	2	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_142	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_143	1	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_144	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_147	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_152	1	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_153	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_156	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_160	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_168	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_173	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_191	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_192	1	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_54	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_DWARF_55	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_LARGE_159	3	Inv_3.1
FAB_5X_LAMn_F_EXPOS_LARGE_180	1	Inv_3.1
FAB_5X_LAMn_F_SHELT_DWARF_121	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_DWARF_126	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_DWARF_89	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_DWARF_94	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_100	1	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_102	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_104	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_105	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_107	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_111	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_114	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_117	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_118	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_119	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_11	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_122	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_123	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_127	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_133	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_15	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_39	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_40	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_41	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_46	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_49	2	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_90	1	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_93	3	Inv_3.1
FAB_5X_LAMn_F_SHELT_LARGE_95	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_197	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_198	2	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_205	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_209	2	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_210	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_87	1	Inv_3.1
FAB_5X_LAMn_F_TRANSI_DWARF_88	1	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_203	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_207	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_208	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_211	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_212	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_79	1	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_86	3	Inv_3.1
FAB_5X_LAMn_F_TRANSI_LARGE_88	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_141	2	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_146	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_148	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_149	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_154	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_157	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_158	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_164	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_174	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_175	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_181	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_182	3	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_185	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_187	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_188	1	Inv_3.1
FAB_5X_LAMn_M_EXPOS_DWARF_60	1	Inv_3.1
FAB_5X_LAMn_M_SHELT_DWARF_106	3	Inv_3.1
